Wall time,Step,Value
1700612917.758685,0,0.015533165074884892
1700614034.1255016,1,0.32241812348365784
1700615147.1307566,2,0.3685978055000305
1700616258.9006917,3,0.3914777636528015
1700617370.986222,4,0.41939547657966614
1700618484.757566,5,0.41771620512008667
1700619595.4160533,6,0.41582703590393066
1700620706.795998,7,0.42989084124565125
1700621819.4508665,8,0.4353484511375427
1700622933.9257221,9,0.44458436965942383
1700624047.3303025,10,0.45759865641593933
1700625161.1593773,11,0.43178001046180725
1700626271.7871397,12,0.4363979995250702
1700627383.408604,13,0.45591938495635986
1700628496.3794925,14,0.4554995894432068
1700629607.2473876,15,0.4506717026233673
1700630718.8299427,16,0.4580184817314148
1700631829.9603865,17,0.4634760618209839
1700632942.5061383,18,0.4506717026233673
1700634054.8659203,19,0.4321998357772827
1700635166.5248237,20,0.45046180486679077
